passID;timestamp;stationRef;vehicleRef;charge
NQU2005152;2019-02-01 04:18:00;AO18;RR73DWB65452;2.8
PZE1892597;2019-02-01 04:24:00;OO00;AT19HLV57173;2.8
AYH8728597;2019-02-01 04:28:00;GF00;QO68DIC93032;13
XJD2966445;2019-02-01 05:50:00;GF00;DO24BCW15511;13
HVQ7237032;2019-02-01 06:12:00;KO00;KB55KTM48860;2.5
NHY3086874;2019-02-01 07:11:00;AO15;YL27IFD65117;2
MGU4398755;2019-02-01 07:14:00;NE08;EG95RTB75032;2.8
GEM5057485;2019-02-01 07:28:00;OO12;AT19HLV57173;2.8
FFA6207327;2019-02-01 07:42:00;OO07;QR03XCJ37459;2.8
OLV7217348;2019-02-01 08:19:00;MR04;IZ65WAT29135;2
NKM7840606;2019-02-01 09:06:00;OO02;MX39VOS38645;2
QZY0176136;2019-02-01 10:20:00;OO01;QR03XCJ37459;2.5
LEV3798414;2019-02-01 11:04:00;OO04;RK48BOP88344;2.8
XCW7548977;2019-02-01 13:49:00;KO07;QO77TFN61853;2.2
SSH1766507;2019-02-01 14:10:00;NE15;MQ65WJJ60020;1
AWB9004088;2019-02-01 15:24:00;AO04;HT62RDI04611;2.8
SNO1901037;2019-02-01 16:40:00;AO15;BM25PHF40639;13
OCG0520265;2019-02-01 16:45:00;NE02;VX68BAR38623;1.5
PZY6450746;2019-02-01 19:54:00;MR00;IZ65WAT29135;2
SVP4480098;2019-02-01 19:54:00;OO07;RK48BOP88344;2.8
CKM4226732;2019-02-01 21:13:00;GF00;BY85QGR11636;2.5
KYZ7726118;2019-02-01 21:13:00;MR05;XV91YMP27722;2.5
BJS5915448;2019-02-01 21:36:00;AO11;BZ76ROL87339;1
ABE2129498;2019-02-01 21:47:00;AO14;BZ76ROL87339;1
QYU5003410;2019-03-01 00:02:00;EG01;TE24LCO18661;1.25
WPS5352347;2019-03-01 01:40:00;GF00;IO09FGE68100;2.8
RDV6518451;2019-03-01 02:39:00;AO15;XE59BZM26378;2.8
WNH6218760;2019-03-01 03:04:00;KO01;QW79CHL42244;2.8
RRS9227725;2019-03-01 03:32:00;EG05;CM15YCB60994;2
LJZ4625728;2019-03-01 03:41:00;KO09;QW79CHL42244;2.8
VED8509398;2019-03-01 04:03:00;OO11;JF94VYA88954;2.8
IAQ7370002;2019-03-01 04:19:00;NE00;QP02SYE47964;2.8
KPT1084302;2019-03-01 06:06:00;KO01;IX01MVL33676;2.5
CSJ9595952;2019-03-01 06:24:00;KO05;IZ65WAT29135;1.5
AJB4007132;2019-03-01 06:51:00;AO18;MX39VOS38645;2.8
IFJ1584058;2019-03-01 06:59:00;MR07;EZ65FLV39493;2.8
IJN5312188;2019-03-01 08:35:00;KO03;FL13UMN92207;1
UZI9045597;2019-03-01 08:43:00;NE01;PM58XHX45588;1.5
DKI5609758;2019-03-01 09:23:00;GF00;CK97FAU13897;2.5
BJL0155721;2019-03-01 09:23:00;MR04;KF48RSD79865;2.8
YON4581505;2019-03-01 12:20:00;GF00;YX66XYW62640;3.1
JZP9177875;2019-03-01 14:02:00;AO04;YL27IFD65117;2
SSZ7103725;2019-03-01 14:43:00;MR00;HE38BQH01623;2.8
FPU0425557;2019-03-01 15:44:00;KO05;WY00MLL63827;1
MOS5853245;2019-03-01 16:51:00;KO05;IX01MVL33676;2.5
EWR2508893;2019-03-01 16:58:00;AO12;DP11ENT03275;3.1
FDO3407403;2019-03-01 17:39:00;KO08;QW79CHL42244;2.8
DLQ8625471;2019-03-01 19:31:00;GF00;MP14WFM40909;2.8
ZAG0725273;2019-03-01 19:34:00;EG07;EC02LZC49528;2.8
RJN3440849;2019-03-01 20:37:00;NE12;EG95RTB75032;2.8
BXR7588699;2019-03-01 21:13:00;OO05;EM54HQI58682;2.8
JZF0586381;2019-03-01 22:03:00;EG01;TE24LCO18661;1.25
AKJ5235405;2019-03-01 22:15:00;NE06;XV91YMP27722;1.5
YSK8555815;2019-03-01 22:56:00;EG09;TV81MAQ99005;2.8
VAS7777913;2019-03-01 23:10:00;KO05;QO77TFN61853;2.2
OSB6924402;2019-03-01 23:11:00;OO01;WY00MLL63827;2.8
IKP1014708;2019-03-01 23:28:00;AO02;PE73VJU23485;2.8
NDS8480885;2019-04-01 00:41:00;NE07;PD45WOT56494;1.5
IEP5322365;2019-04-01 00:46:00;AO05;YL27IFD65117;2
LZU2500999;2019-04-01 01:37:00;NE09;FY47TUN40300;1
FTO5959048;2019-04-01 02:32:00;NE07;NY14GZR94632;2.8
PEO8978228;2019-04-01 02:38:00;GF00;PF04UCA93312;3.1
IWZ6784211;2019-04-01 02:51:00;AO05;DV04FQL29609;3.1
DOT0840926;2019-04-01 03:48:00;OO04;RK48BOP88344;2.8
YIC2205567;2019-04-01 04:43:00;OO05;AT19HLV57173;2.8
JYG0256462;2019-04-01 06:18:00;AO17;OC94ASJ72024;1
FZS8692226;2019-04-01 08:01:00;KO05;ED51EWW52190;1
ZIK8298699;2019-04-01 08:11:00;OO06;UA13YTK28483;2.5
GBM5773955;2019-04-01 08:41:00;OO01;AT19HLV57173;2.8
PLP9237083;2019-04-01 08:43:00;OO05;RK48BOP88344;2.8
PSV9420885;2019-04-01 08:56:00;NE15;BI87HYL81972;2.2
OQE5431179;2019-04-01 09:27:00;KO06;KB55KTM48860;2.5
FRP9290882;2019-04-01 09:32:00;AO15;BZ76ROL87339;1
VIG3313800;2019-04-01 15:15:00;KO06;IX01MVL33676;2.5
BMV9911239;2019-04-01 15:27:00;GF00;BY85QGR11636;2.5
BWS1548433;2019-04-01 16:03:00;EG07;TV81MAQ99005;2.8
DPC4921911;2019-04-01 16:38:00;MR06;UA13YTK28483;2.8
FAD4262737;2019-04-01 16:52:00;AO08;DV04FQL29609;3.1
BOS5722123;2019-04-01 17:39:00;MR05;QO68DIC93032;2.5
BIP4596977;2019-04-01 17:45:00;MR00;HE38BQH01623;2.8
IZU3260044;2019-04-01 18:05:00;MR03;HR53SRO94328;13
IOI0658573;2019-04-01 19:07:00;OO02;PD45WOT56494;2
ELI0385232;2019-04-01 21:05:00;MR08;HE38BQH01623;2.8
SCB3162252;2019-04-01 21:05:00;OO05;VJ92OYV94295;2.5
XRB7777819;2019-04-01 21:25:00;KO08;AY38OQF67603;1.5
VNX6112928;2019-04-01 21:30:00;OO02;XV40HUQ04740;1
JBK7975831;2019-04-01 22:14:00;OO01;XV40HUQ04740;1
UZV6669660;2019-04-01 22:41:00;NE14;FY47TUN40300;1
AST1565987;2019-04-01 23:41:00;NE00;QU94IGC75528;2.8
EPU9167801;2019-05-01 02:09:00;MR05;QN23UHH39091;2.8
UME6300154;2019-05-01 03:12:00;NE14;OY94SZK34436;2.5
IZL8111210;2019-05-01 03:29:00;KO05;MQ65WJJ60020;1.25
TYT3955033;2019-05-01 03:58:00;AO08;VL67TFO75321;2.8
WHI1664349;2019-05-01 05:13:00;NE13;QP02SYE47964;2.8
XSE8654212;2019-05-01 06:11:00;NE15;JV67MTI17124;2.5
TXL5895242;2019-05-01 06:41:00;KO05;QO77TFN61853;2.2
LJC9157282;2019-05-01 08:15:00;KO03;JO50FSF60755;2.2
HJW5583166;2019-05-01 09:36:00;MR05;BI87HYL81972;1
OIV5602818;2019-05-01 10:01:00;MR02;UA13YTK28483;2.8
DKX6181104;2019-05-01 11:20:00;NE00;EM54HQI58682;3.1
TGM8606494;2019-05-01 11:22:00;EG07;IW53OQE31439;2.8
UIC7940896;2019-05-01 11:28:00;EG12;TE24LCO18661;1.25
PZP9995637;2019-05-01 18:12:00;MR08;KF48RSD79865;2.8
HOA0727154;2019-05-01 19:13:00;MR03;KF48RSD79865;2.8
KTK8951799;2019-05-01 20:21:00;GF00;PF04UCA93312;3.1
UWV9537409;2019-05-01 21:22:00;AO01;DP11ENT03275;3.1
GYR0258541;2019-05-01 22:43:00;AO13;RR73DWB65452;2.8
SDQ5556853;2019-05-01 23:45:00;NE03;QP02SYE47964;2.8
UDF1325536;2019-05-01 23:57:00;OO01;AY38OQF67603;2.8
NQV7199789;2019-06-01 00:22:00;EG10;CM15YCB60994;2
INA0533953;2019-06-01 00:50:00;NE05;VX68BAR38623;1.5
AZT9656066;2019-06-01 01:25:00;OO05;JF94VYA88954;2.8
IUO2143413;2019-06-01 02:49:00;MR07;RR98KQE80731;1.25
UXT7394943;2019-06-01 02:58:00;EG06;EC02LZC49528;2.8
LJW9984906;2019-06-01 03:17:00;GF00;MP14WFM40909;2.8
TPR4294291;2019-06-01 03:35:00;NE15;EG95RTB75032;2.8
ULN8974546;2019-06-01 03:48:00;AO12;HT62RDI04611;2.8
QZK4342840;2019-06-01 03:55:00;MR02;QH15HWX24570;3.1
XWI7097584;2019-06-01 05:33:00;GF00;YX66XYW62640;3.1
MXM6404031;2019-06-01 07:06:00;AO14;YL27IFD65117;2
YJU8743734;2019-06-01 07:31:00;EG12;EC02LZC49528;2.8
SUH5952969;2019-06-01 09:34:00;NE07;QR03XCJ37459;1.5
WOJ6728265;2019-06-01 11:37:00;MR05;RR98KQE80731;1.25
PAV5608102;2019-06-01 11:37:00;NE08;EG95RTB75032;2.8
CFO6913267;2019-06-01 11:39:00;OO08;LC72NRN52084;1.25
PAL2525981;2019-06-01 12:12:00;OO03;IC95TLY24827;2
RCF4544449;2019-06-01 12:43:00;KO00;WY00MLL63827;1
PVJ3943516;2019-06-01 12:54:00;AO15;XE59BZM26378;2.8
IRX8848859;2019-06-01 12:57:00;AO08;RR73DWB65452;2.8
MCD5475060;2019-06-01 13:13:00;KO08;MQ65WJJ60020;1.25
PFW8615887;2019-06-01 14:19:00;OO09;RK48BOP88344;2.8
ASW3119652;2019-06-01 15:33:00;MR06;UA13YTK28483;2.8
VQA8895237;2019-06-01 15:57:00;NE16;IA29IQS63679;1
NHL4953806;2019-06-01 16:44:00;OO13;LG64ARC91224;1.5
MAK0971449;2019-06-01 16:47:00;KO07;FY47TUN40300;2.8
JFR2402578;2019-06-01 17:25:00;GF00;SL09NOT64494;2.5
YYP0773445;2019-06-01 18:29:00;EG00;TZ48CCW54765;3.1
LIV9253695;2019-06-01 19:23:00;OO03;XV40HUQ04740;1
CCS6814108;2019-06-01 21:36:00;NE06;NY14GZR94632;2.8
KOC7962766;2019-06-01 23:08:00;GF00;MA30QLI76818;2.5
DOZ1453528;2019-06-01 23:08:00;GF00;BY85QGR11636;2.5
PFR7735501;2019-06-01 23:50:00;NE08;OY94SZK34436;1
RVF1714057;2019-06-01 23:54:00;GF00;BY85QGR11636;2.5
QJM2827051;2019-07-01 00:07:00;KO06;JO50FSF60755;2.2
HNU5135879;2019-07-01 00:26:00;MR07;UA13YTK28483;2.8
NUF0316968;2019-07-01 00:57:00;GF00;BY85QGR11636;2.5
MFM7697504;2019-07-01 01:12:00;OO09;YX66XYW62640;1
RRF5482950;2019-07-01 01:34:00;KO09;IX01MVL33676;2.5
RCS4635589;2019-07-01 01:35:00;MR07;HE38BQH01623;2.8
LZJ2868612;2019-07-01 02:19:00;NE12;QP02SYE47964;2.8
HPB9107400;2019-07-01 02:53:00;GF00;PF04UCA93312;3.1
KMK0226092;2019-07-01 03:36:00;OO07;JO50FSF60755;2
NRK5104296;2019-07-01 05:02:00;MR02;UF84JOS00561;3.1
RBK8060006;2019-07-01 05:27:00;AO05;YL27IFD65117;2
AUU6469015;2019-07-01 06:24:00;AO13;EM54HQI58682;2.8
IQN6203368;2019-07-01 08:48:00;EG06;SL09NOT64494;2.2
VXK5719170;2019-07-01 08:59:00;EG05;EC02LZC49528;2.8
QRR8447934;2019-07-01 09:03:00;MR00;QO68DIC93032;2.5
NXJ2283523;2019-07-01 10:21:00;NE02;FY47TUN40300;1
BPA2075644;2019-07-01 11:55:00;KO07;FL13UMN92207;1
GIQ5227984;2019-07-01 12:10:00;NE02;AT19HLV57173;2
QMM0347109;2019-07-01 12:11:00;OO12;BI87HYL81972;2.5
NBS8149331;2019-07-01 12:23:00;OO10;QX75YWC61835;2.5
WXO4856567;2019-07-01 14:15:00;EG10;EV77EDV52985;1.25
DSB0448624;2019-07-01 15:22:00;GF00;UF84JOS00561;2.8
REY3108814;2019-07-01 15:38:00;NE16;IA29IQS63679;1
LAO6168976;2019-07-01 15:53:00;OO05;DP11ENT03275;1
UQR3278904;2019-07-01 16:05:00;AO13;EV77EDV52985;2.8
DPZ9842551;2019-07-01 16:28:00;NE13;EG95RTB75032;2.8
HCX4122632;2019-07-01 18:13:00;AO04;PE73VJU23485;2.8
ARH1581655;2019-07-01 18:27:00;KO01;WY00MLL63827;1
HTD0281631;2019-07-01 19:53:00;AO08;RK48BOP88344;2.8
IWR8131559;2019-07-01 20:03:00;OO05;RK48BOP88344;2.8
XQT9913725;2019-07-01 21:39:00;AO12;LG64ARC91224;13
FDG4220162;2019-07-01 22:40:00;EG10;CM15YCB60994;2
SYA7107074;2019-07-01 23:04:00;EG07;CR31GMR97972;1.5
EGU0149427;2019-07-01 23:39:00;NE00;OY94SZK34436;2.5
OXK0045085;2019-07-01 23:40:00;KO03;KB55KTM48860;2.5
UTD5120164;2019-08-01 00:24:00;OO04;AT19HLV57173;2.8
UBP7692482;2019-08-01 01:47:00;OO07;TV81MAQ99005;3.1
YQF2255735;2019-08-01 01:55:00;GF00;QN12NTR81378;2.8
TBW5744223;2019-08-01 03:13:00;MR06;QO68DIC93032;2.5
OFS6376591;2019-08-01 03:18:00;EG02;RK48BOP88344;2.5
FAE2281094;2019-08-01 05:38:00;OO04;SY96JDQ97089;2
IIM9785176;2019-08-01 05:52:00;NE07;UP28MBM38391;1
PHE1025027;2019-08-01 06:22:00;MR07;KF48RSD79865;2.8
INQ8456777;2019-08-01 07:47:00;AO17;JD78PQD35395;2.8
DUR6384757;2019-08-01 08:11:00;AO01;BM25PHF40639;13
OZT5115958;2019-08-01 08:12:00;GF00;JE65QJK64802;2.8
LMA8654820;2019-08-01 09:59:00;AO04;EC02LZC49528;2.8
XTE9166677;2019-08-01 11:22:00;NE00;FY47TUN40300;1
PPU9152797;2019-08-01 13:04:00;AO13;FL13UMN92207;2.8
BRN7360799;2019-08-01 13:15:00;NE09;IA29IQS63679;1
OLV1623583;2019-08-01 14:08:00;OO03;LC72NRN52084;3.1
XVJ7652867;2019-08-01 14:18:00;GF00;CP56DAO45598;2.8
UVE2297410;2019-08-01 15:42:00;EG02;BI87HYL81972;1
LZP3584479;2019-08-01 15:52:00;NE13;QR03XCJ37459;1.5
COH4374136;2019-08-01 15:53:00;NE01;PD45WOT56494;2
EZI7123567;2019-08-01 16:14:00;MR04;LM86GYO69819;2.2
HSO9832566;2019-08-01 16:25:00;AO08;LG64ARC91224;13
GWX5926658;2019-08-01 17:14:00;GF00;PF04UCA93312;3.1
PGX6872041;2019-08-01 17:34:00;EG01;JD78PQD35395;1
EWR8013818;2019-08-01 17:52:00;NE08;ZY93PCY41868;1.25
AJJ7574694;2019-08-01 18:02:00;OO02;HE38BQH01623;1.5
BAM0767909;2019-08-01 18:49:00;AO09;BM25PHF40639;13
ZTV2947809;2019-08-01 18:51:00;AO05;DP11ENT03275;3.1
MDB4040741;2019-08-01 19:31:00;OO00;PD45WOT56494;1.5
CSG3318300;2019-08-01 21:22:00;MR03;IZ65WAT29135;2
NHM3675844;2019-08-01 21:30:00;NE05;QO68DIC93032;3.1
DPB6551839;2019-08-01 21:42:00;KO02;KB55KTM48860;2.5
YZI2644272;2019-08-01 22:06:00;KO06;WY00MLL63827;1
DZH0114567;2019-08-01 23:17:00;AO06;OC94ASJ72024;1
WJX5646477;2019-09-01 00:43:00;EG02;EC02LZC49528;2.8
GTQ0716183;2019-09-01 00:52:00;GF00;PF04UCA93312;3.1
DIM4006595;2019-09-01 01:58:00;OO02;IC95TLY24827;2
FMX7447301;2019-09-01 02:01:00;KO08;ED51EWW52190;2.8
CCT1120986;2019-09-01 02:12:00;KO09;ED51EWW52190;2.8
UBU3174102;2019-09-01 03:38:00;OO01;IC95TLY24827;2
PEJ6840364;2019-09-01 04:16:00;AO06;PE73VJU23485;2.8
POM1873220;2019-09-01 04:31:00;EG08;XE59BZM26378;2.5
UNO6659001;2019-09-01 05:10:00;GF00;PF04UCA93312;3.1
JIK3844618;2019-09-01 06:34:00;EG02;EC02LZC49528;2.8
KLN6484024;2019-09-01 07:14:00;KO01;QO77TFN61853;2.2
ZHC1977550;2019-09-01 07:37:00;GF00;PF04UCA93312;3.1
FKV7904848;2019-09-01 07:52:00;EG05;JD78PQD35395;1
NFI8367808;2019-09-01 07:57:00;KO00;IX01MVL33676;2.5
LFH0315629;2019-09-01 08:05:00;GF00;WU78BMX13511;1
XKS4664614;2019-09-01 08:19:00;NE07;VX68BAR38623;1.5
UMF7695471;2019-09-01 08:36:00;EG04;CM15YCB60994;2
SJT4290133;2019-09-01 08:45:00;KO05;QW79CHL42244;2.8
ZQV5105168;2019-09-01 09:47:00;GF00;MA30QLI76818;2.5
WIU6615713;2019-09-01 09:48:00;NE11;XF28DGK65250;1
FBN9889844;2019-09-01 09:59:00;KO08;QO77TFN61853;2.2
FBN6685344;2019-09-01 10:39:00;GF00;CK97FAU13897;2.5
DBF9508600;2019-09-01 11:20:00;NE07;WY00MLL63827;2
YYN5607187;2019-09-01 13:44:00;MR02;UA13YTK28483;2.8
KJW8914761;2019-09-01 13:49:00;MR07;EZ65FLV39493;2.8
HKH2373332;2019-09-01 15:03:00;OO06;AT19HLV57173;2.8
BYG4248451;2019-09-01 15:41:00;OO01;JF94VYA88954;2.8
FNP4393498;2019-09-01 20:59:00;MR06;EC02LZC49528;2.5
JKT6128724;2019-09-01 21:17:00;EG12;QU94IGC75528;1.25
EGL5422048;2019-09-01 22:18:00;OO13;IC95TLY24827;2
LRM3194355;2019-09-01 22:30:00;EG10;EC02LZC49528;2.8
ORT5368959;2019-09-01 22:42:00;OO13;YX66XYW62640;2.5
CZL7820317;2019-09-01 23:32:00;OO09;QR03XCJ37459;2.8
HZU4853745;2019-09-01 23:33:00;MR00;UA13YTK28483;2.8
CYJ1240238;2019-10-01 00:17:00;EG00;DW44ZOO26361;2.5
FOM5485924;2019-10-01 03:24:00;KO07;KB55KTM48860;2.5
FHO5663132;2019-10-01 04:51:00;OO01;AT19HLV57173;2.8
OMN5141808;2019-10-01 05:42:00;OO06;RK48BOP88344;2.8
YMO5978142;2019-10-01 06:12:00;MR08;KF48RSD79865;2.8
QJP5702056;2019-10-01 06:24:00;KO01;KB55KTM48860;2.5
TOH4508765;2019-10-01 06:28:00;AO19;CR31GMR97972;2.8
VNK5211146;2019-10-01 07:06:00;EG01;TE24LCO18661;1.25
RNX5573794;2019-10-01 09:47:00;AO08;QW79CHL42244;2.8
VXO5341372;2019-10-01 09:57:00;NE00;NY14GZR94632;2.8
RCB0419705;2019-10-01 10:50:00;AO02;BZ76ROL87339;2.8
XFL2376961;2019-10-01 11:31:00;NE03;RR73DWB65452;2.8
NDO5553932;2019-10-01 13:16:00;EG06;EC02LZC49528;2.8
XXG1012689;2019-10-01 14:13:00;KO04;KB55KTM48860;2.5
BUE8856354;2019-10-01 14:38:00;MR03;KF48RSD79865;2.8
HOM4753925;2019-10-01 15:28:00;KO01;ED51EWW52190;2.8
SEK9690966;2019-10-01 17:38:00;GF00;WU78BMX13511;1
PBQ8194472;2019-10-01 18:06:00;KO00;MQ65WJJ60020;1.25
RSL4446153;2019-10-01 18:22:00;OO01;AT19HLV57173;2.8
ZLJ6963762;2019-10-01 20:52:00;KO02;MQ65WJJ60020;1.25
RWG6921523;2019-10-01 20:58:00;AO10;LG64ARC91224;13
ODH4025527;2019-10-01 21:25:00;EG12;QU94IGC75528;1.25
LRO6012832;2019-10-01 22:33:00;MR07;MX39VOS38645;1.5
OWN2040268;2019-10-01 22:51:00;AO10;BZ76ROL87339;1
INB9199595;2019-11-01 00:02:00;NE03;PM58XHX45588;1.5
EVM7404972;2019-11-01 00:03:00;AO09;OC94ASJ72024;1
TVQ0671376;2019-11-01 00:55:00;KO05;IX01MVL33676;2.5
LFV5670084;2019-11-01 01:15:00;MR06;KF48RSD79865;2.8
RFX1371677;2019-11-01 01:41:00;OO03;WG11QVY31890;1
UTL3484031;2019-11-01 02:11:00;GF00;WU78BMX13511;1
NXL2041620;2019-11-01 02:30:00;MR03;QO68DIC93032;2.5
ZNJ1049151;2019-11-01 02:37:00;MR04;IZ65WAT29135;1.25
WOX8452591;2019-11-01 02:42:00;AO18;SY96JDQ97089;1.5
CDB3019504;2019-11-01 02:47:00;MR01;MX39VOS38645;1
KVZ2606955;2019-11-01 03:04:00;NE00;PM58XHX45588;1.5
GYR4605539;2019-11-01 03:33:00;EG01;QU94IGC75528;1.25
LQE3984015;2019-11-01 03:35:00;OO05;XV40HUQ04740;1
KHP0306935;2019-11-01 04:09:00;NE07;FY47TUN40300;1
PTS5311062;2019-11-01 05:36:00;OO06;RK48BOP88344;2.8
FUI7993951;2019-11-01 06:09:00;KO02;IX01MVL33676;2.5
FFQ7677778;2019-11-01 06:17:00;EG03;NZ35XLQ89678;3.1
OBK1343175;2019-11-01 06:21:00;NE12;EG95RTB75032;2.8
VPC7691320;2019-11-01 06:41:00;GF00;QN12NTR81378;2.8
KRB0046906;2019-11-01 07:00:00;MR08;KF48RSD79865;2.8
CFH4027363;2019-11-01 07:24:00;MR05;DV04FQL29609;1
KYL4062666;2019-11-01 07:40:00;NE01;UP28MBM38391;1
FRY5107918;2019-11-01 08:32:00;MR08;IZ65WAT29135;2
KHF6369943;2019-11-01 08:37:00;EG07;TV81MAQ99005;2.8
OHA0886547;2019-11-01 08:42:00;OO03;EE22TMX10817;2
FAN1603090;2019-11-01 09:10:00;GF00;CP56DAO45598;2.8
MAE2734230;2019-11-01 09:21:00;GF00;UF84JOS00561;2.8
VAP1319169;2019-11-01 09:44:00;KO08;IX01MVL33676;2.5
HEQ9650767;2019-11-01 11:18:00;OO06;QR03XCJ37459;2.8
JYK8853857;2019-11-01 12:54:00;AO13;VX68BAR38623;2.8
AYH1207558;2019-11-01 13:40:00;AO00;DV04FQL29609;3.1
CLW1884630;2019-11-01 13:58:00;GF00;PF04UCA93312;3.1
NBJ7274983;2019-11-01 14:22:00;AO10;YH66OKD41942;2.8
NAY5893770;2019-11-01 15:08:00;NE04;JV67MTI17124;2.5
MID9503142;2019-11-01 16:05:00;NE13;EG95RTB75032;2.8
CXP3169780;2019-11-01 16:34:00;GF00;BY85QGR11636;2.5
SGD5418817;2019-11-01 17:14:00;EG06;TZ48CCW54765;3.1
MBM8077350;2019-11-01 17:24:00;KO07;KB55KTM48860;2.5
GBN7975968;2019-11-01 18:16:00;KO09;IX01MVL33676;2.5
CLL1393211;2019-11-01 21:16:00;NE11;UP28MBM38391;1
VRE3149856;2019-11-01 21:59:00;AO03;DV04FQL29609;3.1
OXV6474062;2019-11-01 22:45:00;KO03;ED51EWW52190;2.8
ITM6027560;2019-11-01 23:07:00;MR07;EZ65FLV39493;2.8
SNL6848703;2019-11-01 23:25:00;GF00;BY85QGR11636;2.5
WIE3219672;2019-12-01 00:48:00;GF00;UF84JOS00561;2.8
CGW0740748;2019-12-01 01:03:00;OO02;QX75YWC61835;2.5
GLR4345977;2019-12-01 01:24:00;MR00;QO68DIC93032;2.5
JQH3889391;2019-12-01 02:25:00;EG09;CM15YCB60994;2
FMV8753724;2019-12-01 03:02:00;AO17;LG64ARC91224;13
NWU2289217;2019-12-01 04:55:00;AO05;BM25PHF40639;13
FIR0060155;2019-12-01 05:28:00;NE14;FY47TUN40300;1
OCP6514091;2019-12-01 05:57:00;AO05;MX39VOS38645;2.8
XHE9708059;2019-12-01 06:09:00;NE11;RR98KQE80731;2.5
CLZ6123482;2019-12-01 06:25:00;GF00;UF84JOS00561;2.8
IHM2533253;2019-12-01 07:18:00;NE14;EV77EDV52985;1
RIU8037058;2019-12-01 07:58:00;AO18;DP11ENT03275;3.1
QCE4981246;2019-12-01 08:15:00;AO09;YH66OKD41942;2.8
ZYJ1621645;2019-12-01 09:56:00;EG11;EC02LZC49528;2.8
RSH8433688;2019-12-01 10:45:00;AO17;QH15HWX24570;2.8
QPM5227076;2019-12-01 11:37:00;MR01;EZ65FLV39493;1.5
TNG2672810;2019-12-01 12:15:00;AO07;PD45WOT56494;2.8
CDJ9717964;2019-12-01 12:50:00;NE05;NO82BAX82566;3.1
LBD4902785;2019-12-01 13:13:00;GF00;PF04UCA93312;3.1
SQI6683172;2019-12-01 13:15:00;EG08;YL27IFD65117;1.5
PRS4213078;2019-12-01 15:42:00;EG09;CM15YCB60994;2
MCG7137175;2019-12-01 15:57:00;OO11;WG11QVY31890;1
WMA6030194;2019-12-01 16:06:00;OO09;VJ92OYV94295;2.5
UPB5659435;2019-12-01 16:21:00;OO00;RR98KQE80731;2.8
CKQ9279270;2019-12-01 16:24:00;MR06;BI87HYL81972;1
YGN1666843;2019-12-01 16:27:00;AO04;YL27IFD65117;2
OBA4954168;2019-12-01 17:04:00;MR00;YX66XYW62640;1
VOL1460364;2019-12-01 17:23:00;AO18;LG64ARC91224;13
JYB4760826;2019-12-01 17:54:00;OO00;AY38OQF67603;3.1
FFK0225004;2019-12-01 18:08:00;NE00;CM15YCB60994;2.5
LLB0471775;2019-12-01 19:28:00;AO02;VL67TFO75321;2.8
INI0201525;2019-12-01 21:28:00;KO08;RV87TIY76692;2
DZR9767384;2019-12-01 21:48:00;OO06;VJ92OYV94295;2.5
HMK5885792;2019-12-01 22:53:00;OO07;JD78PQD35395;1.25
MET8174555;2019-12-01 23:56:00;OO00;QR03XCJ37459;2.8
